District_name,Transaction_count,Transaction_amount,Quater,Year,State
anantapur,4889720,9554081289.488277,3,2019,andhra-pradesh
spsr nellore,4150195,8256600118.735449,3,2019,andhra-pradesh
prakasam,3430750,7354502261.150911,3,2019,andhra-pradesh
ysr,3296586,7447544274.2117815,3,2019,andhra-pradesh
visakhapatnam,23594874,39133296330.04462,4,2019,andhra-pradesh
krishna,11719402,23039786404.046635,4,2019,andhra-pradesh
chittoor,11246986,19298476027.875484,4,2019,andhra-pradesh
guntur,9761330,18565626418.035915,4,2019,andhra-pradesh
east godavari,9285739,16816774065.301317,4,2019,andhra-pradesh
kurnool,7001958,13233105728.54823,4,2019,andhra-pradesh
anantapur,6764112,13887248889.064064,4,2019,andhra-pradesh
spsr nellore,5877804,11786014089.194025,4,2019,andhra-pradesh
prakasam,4865473,10604077824.801035,4,2019,andhra-pradesh
ysr,4793157,10865073855.730782,4,2019,andhra-pradesh
visakhapatnam,27115031,48809747614.678894,1,2020,andhra-pradesh
chittoor,13257740,23441848567.344193,1,2020,andhra-pradesh
krishna,12175289,24481702770.714714,1,2020,andhra-pradesh
guntur,11493331,22992734620.64621,1,2020,andhra-pradesh
east godavari,11346242,21854701379.428688,1,2020,andhra-pradesh
anantapur,8466129,17864325752.82528,1,2020,andhra-pradesh
kurnool,8246869,17022710311.813044,1,2020,andhra-pradesh
spsr nellore,7430247,15387829694.446861,1,2020,andhra-pradesh
prakasam,6318396,14169104764.526735,1,2020,andhra-pradesh
ysr,6031255,14059924636.819914,1,2020,andhra-pradesh
visakhapatnam,25300401,48293889917.41437,2,2020,andhra-pradesh
chittoor,14848197,27361300300.01902,2,2020,andhra-pradesh
east godavari,13130334,26319906327.32029,2,2020,andhra-pradesh
krishna,12313709,26964149095.36629,2,2020,andhra-pradesh
guntur,12308707,27463593607.83911,2,2020,andhra-pradesh
anantapur,10473739,22094006659.412506,2,2020,andhra-pradesh
kurnool,9821381,22419372061.805172,2,2020,andhra-pradesh
spsr nellore,9454274,20665376460.772232,2,2020,andhra-pradesh
prakasam,8844580,19846026726.90433,2,2020,andhra-pradesh
ysr,8033609,19597207268.132023,2,2020,andhra-pradesh
visakhapatnam,34421299,67628440368.111465,3,2020,andhra-pradesh
